# from Ensembl Biomart
Associated_Gene_Name	Gene_Start	Gene_End
CHRNB2	154567781	154580026
TDG	103965804	103988874
PGA3	61203307	61213098
SI	164978898	165078495
MTFR1	65644734	65771261
PEMT	17505563	17591708
MLC1	50059391	50085902
MYO1A	57028517	57051198
DOK5	54475597	54651171
SLFN11	35350305	35373701
PRSS12	118280038	118353003
TLN1	35696948	35732395
WDR37	1049538	1132297
UNK	75784771	75825799
AC145212.2	53594	115055
ARHGDIB	14942017	14961728
DMRTA2	50417550	50423500
ZNF528	52397849	52418412
RP11-176H8.1	31334312	31457441
CDIP1	4512634	4526261
IGSF9B	133908564	133956985
CYP4F12	15672757	15697174
KIR3DS1	54816496	54820397
ZNF580	55635016	55643469
ATP8B3	1782075	1812276
MRPS7	75261674	75266373
NDUFA3	54102906	54107026
OR14J1	29306763	29307728
HLA-DMA	32870929	32893044
AMD1	110814621	110895713
TBCE	235367360	235448968
POU1F1	87259404	87276587
NR2C1	95020229	95073703
PTPRO	15322397	15597399
AC136612.1	933862	936467
NSRP1	30115521	30186475
PREP	105277565	105403084
TMEM230	5068232	5113103
IL21	122612628	122621069
LSM4	18306230	18323274
CA11	48637942	48646312
ASUN	26905181	26938326
CISD2	102868978	102889242
MEIG1	14959439	14988050
CDHR5	616823	626336
IQCJ	158962928	159266307
TUBD1	59859482	59892945
FAM222B	28755978	28855232
GLS	190880827	190965552
DDX41	177511577	177517469
IFNA1	21409169	21441316
PSMB8	32931434	32935368
PLVAP	17351448	17377350
AL109927.1	27850574	27850744
HYPM	37990817	37991317
POLR2B	56977722	57031168
NCL	231453531	231483641
LIPT2	74491712	74493733
AC133551.1	17234	19833
PRKCSH	11435288	11450968
RELN	103471784	103989516
SULT6B1	37167820	37196598
GSC	94768216	94770230
NXF1	62792123	62806302
TMC4	54160649	54173691
TRIM11	228393673	228406840
SOCS2	93569814	93583487
SLC44A4	31863192	31879046
EFCAB2	244969705	245127164
SLC12A8	125082636	125212864
ARL3	102673731	102714407
TARDBP	11012662	11030528
PLCXD1	276322	303356
ASXL3	33578615	33751192
PPFIBP1	27523431	27695564
POU5F1	31242859	31249234
AC092881.1	70321677	70324274
GAFA3	37866561	37867091
HLA-DQB2	32847708	32855144
MAPK12	50245450	50261825
HEBP2	138403531	138422197
KIF18B	44924709	44947711
CYP4F8	15615218	15630638
RP11-145E5.5	21802636	22032986
KLKB1	186208979	186258471
RSPO4	958452	1002264
IFNA8	21409147	21410185
CBWD7	41131306	41199261
ARFGEF2	48921890	49036693
AL596220.1	186394991	186396776
ZBED5	10812074	10858796
SOS2	50117120	50231558
PPP3R2	101591615	101595001
KIR3DL2	54883911	54885779
OR10G4	124015575	124016510
HIST1H3E	26225155	26225565
CCDC85B	65890112	65891635
AF131216.1	11283500	11285068
TENM1	124375903	124963817
GLUD1	87050486	87094866
PIP4K2B	38566476	38600913
AC010287.1	58554337	58554935
DEFB114	49960249	49964105
TMEM27	15627318	15665031
UBR5	102253012	102412841
OR10G9	124023013	124023948
TFPT	54107066	54115801
FLAD1	154983338	154993111
KRT6A	52487174	52493257
GMIP	19629476	19643667
OR2T4	248361581	248362627
RPS8	44775251	44778779
PRSS2	142748662	142774564
ACACA	37084988	37406818
AC007163.2	200682822	200683196
CPD	30378905	30469989
PRH2	10929236	10932341
AC005480.1	74003369	74003777
PP2672	234757621	234760056
NELFE	31944741	31951746
CYBB	37780011	37813461
GTF2H5	158168352	158199344
MIXL1	226223618	226227054
AC012314.14	54069947	54081380
PPIAL4F	144592868	144593527
ADAT1	75596981	75623300
L3MBTL3	130013699	130141451
AL022578.1	47835953	47836793
BRF2	37843268	37849904
INPP5A	132537820	132783480
AL445183.1	53053624	53054949
C17orf96	38472490	38476208
FTSJ3	63819433	63830012
HLA-E	30479321	30484059
SCAPER	76347904	76905444
EVL	99971449	100144236
MSH4	75796882	75913238
AC011476.11	54998440	55034296
TMEM30C	100185824	100194191
GP6	55019324	55043883
OR10G8	124029590	124030634
C2	31912644	31938328
TMC2	2536607	2641784
ZNF317	9140380	9163424
SIRT5	13574529	13615158
FBXO39	6776223	6797101
CCL11	34285668	34288334
E2F5	85177225	85217158
ZMIZ2	44748581	44769881
AC008641.1	151016918	151017411
P2RY2	73218298	73236352
CRYZ	74705482	74733408
OR2T6	248387949	248388875
CENPE	103105806	103198409
OR2B3	29087135	29088141
EEA1	92770637	92929331
AC012314.7	54040833	54063953
MTA1	105419820	105470729
PRKAB1	119667753	119681630
KYNU	142877498	143055832
FBXO24	100583982	100601117
RGPD6	110513812	110577185
TATDN1	124488485	124539458
TAS2R20	10996484	10997864
TWSG1	9334767	9402420
TAS2R50	10985900	10986899
FKSG59	128118011	128118385
OR10G7	124038066	124039010
TAS2R14	10937405	11167807
C6orf15	31111223	31112559
PPP4R2	72996785	73069199
TAS2R13	10907926	10909562
CPLX1	784957	826198
UGT2B15	68537413	68670628
MALRD1	19048771	19790401
AC018512.1	43782843	43783033
KLHDC8A	205336065	205357090
TAS2R30	11079729	11130572
ATAT1	30617079	30637059
NDUFB4	120596309	120602500
COX8C	93347191	93348356
C10orf99	84173738	84185294
SPTBN4	40466241	40576464
IFNE	21480839	21482313
CYP4V2	186191520	186213456
AC004158.1	72496967	72497341
TAS2R46	11030674	11094152
GZMK	55024253	55034570
PIGV	26787472	26798398
GALNT1	35581117	35711834
SUCNR1	151873643	151884619
AC118758.1	56804059	56804689
BAMBI	28677342	28682939
ZNF354B	178859953	178888122
AC109829.2	27556908	27557282
AC124312.1	25091960	25092377
AC008914.1	55928640	55928741
TRIM40	30181237	30193864
PCYOX1L	149358007	149369653
AL645922.1	32006168	32007104
TNFRSF19	23570370	23676104
ORAI3	30949066	30956461
TMEM145	42313325	42325062
SLFN14	35548125	35558098
FLII	18244836	18258916
AL358852.1	149717621	149718888
GP6	55021410	55045969
VIM	17228259	17237593
DKFZp434P228	98792863	98795766
ANKRD46	100509752	100559784
RAB41	70282093	70285002
MAGEA10	152133310	152138578
PNMT	39667981	39670475
RPS18	33412156	33415676
AL365181.2	156597173	156599410
TECR	14517085	14565980
ZNF821	71859680	71895336
KIR2DL1	54778013	54792334
AC011476.13	55049943	55068836
OR5I1	55935456	55936400
RUFY2	68341107	68407294
AL356289.1	48102068	48104707
MDC1	30763719	30781800
LY6G5C	31666915	31674267
ATP6V1G2	31544462	31548427
RP11-1236K1.1	12064389	12071747
FKSG51	3538044	3538418
DAPP1	99816833	99870154
RPL41	28315693	28315770
CR392000.1	136249978	136251205
SBDS	66987677	66995601
MTRNR2L13	116298876	116300320
XPO7	21919671	22006585
AC004813.1	119918001	119918375
XPNPEP3	40857077	40932815
COQ6	73949926	73963670
AL133335.1	54249953	54250327
TNNI2	1838989	1841680
LPPR3	812488	821977
AC108925.1	127630283	127630657
STIL	47250139	47314147
TREM2	41158506	41163186
AC055733.1	130868872	130869246
SEPHS1	13317424	13348298
PGLS	17511629	17521288
CHRFAM7A	30511927	30544252
SMN1	70925030	70953942
ITFG3	234546	268971
NLE1	35128753	35142315
FKSG52	60430738	60431112
PTPN22	113813811	113871759
GSTM5	109712255	109775428
AC011155.1	52409042	52409257
SLC7A14	170459584	170586074
AC016142.1	150819598	150819972
NTN5	48661407	48673081
IL25	23372809	23376403
AC243756.1	146344006	146344790
LRRN3	111091006	111125454
CBFA2T2	33490075	33650036
DIRAS1	2714567	2721418
ZIC4	147386046	147406860
SLC8A3	70044217	70189070
AKAP11	42272153	42323267
CSF2RA	1268800	1310381
FKSG63	70224358	70224738
AC242988.1	150302770	150303291
XPO6	28097979	28211920
ZNF827	145757627	145938635
AC006994.3	210232692	210233976
AC006538.4	2717769	2740048
FAM19A3	112720419	112727235
NCAPG2	158631311	158704829
UGT2B17	68537184	68568527
YWHAZ	100916525	100953388
AC243829.1	36103827	36105621
AC012005.3	24362031	24362436
C15orf48	45430529	45448761
SFT2D1	166319728	166342591
KRTAP3-1	41008648	41019451
AC016549.1	14341288	14343089
SLC39A3	2732204	2740152
APBA2	29060035	29259075
ZCCHC12	118823790	118826968
DOHH	3490821	3500940
AC009022.1	70052395	70052769
MALAT1	65502034	65503622
AC009060.2	70205400	70205780
NR2E1	108166058	108188809
PRPF31	54115536	54131896
HLA-E	30489467	30494205
ING3	120950749	120977216
KBTBD4	47572197	47579015
AC171558.1	386278	387620
TNFRSF13C	41922023	41926818
H3F3B	75776434	75785893
GOLGA6L1	23131736	23140290
TMEM60	77793728	77798580
RP11-544M22.13	160997957	161038962
SLC35G1	93893973	93956062
CYP4F22	15508493	15552317
BRMS1	66337333	66345125
GLCCI1	7968794	8094272
FZD9	73433783	73436120
FAM122B	134769566	134797232
CAT	34438925	34472062
UNC5D	35235457	35796550
ZNF430	21020620	21060050
TAS2R10	10825317	10826358
PLTP	45898621	45912155
MKI67	128096659	128126385
C6orf205	31028368	31034648
UNC79	93333219	93707876
ABCB7	75053172	75156732
FBN2	128257909	128659185
POTEB2	20835372	20866314
TJP1	29850002	29972346
PMVK	154924734	154936991
TAS2R43	11093151	11094080
CAPN6	111245103	111270523
RFTN1	16313574	16514026
ROPN1B	125969144	125983454
AC092159.1	687799	688348
SP110	230167293	230225729
LRRC37B	32007872	32053504
SF3B2	66050729	66069308
AC110615.1	75949920	75957413
MGAT3	39457344	39492194
PWP1	107685732	107713167
AC213203.1	31698	32528
C1orf21	184387058	184629020
AC066615.1	47133652	47134026
HLA-DPA1	33042507	33058713
TSEN34	54190866	54195141
RRN3	15060022	15094317
AC079355.1	63762476	63765094
ZNF792	34956354	34964049
FKSG62	27064991	27065365
C1QTNF9B-AS1	24321126	24321428
AP006285.1	1586202	1591699
OR2G6	248521647	248522597
TRIM64C	49053714	49059112
SYNRG	37519433	37614077
TRIOBP	37697004	37776556
SH3PXD2B	172325181	172454523
GAS2L3	100573683	100628286
VPS29	110491097	110502117
ZNF429	21496682	21556270
UNC13A	17601328	17688365
ISYNA1	18434388	18438301
CARS	2999797	3056458
CCDC144NL	20836447	20896140
SUSD4	223220819	223364202
ZNF32	43643859	43648856
ATE1	121740421	121928801
CWC15	94962622	94973612
AADAC	151814037	151828488
EBLN2	73061659	73063337
LENG1	54156127	54160192
CCDC149	24806117	24980204
AMMECR1	110194186	110440233
AL023806.1	145789760	145791832
TAP1	32935926	32944695
ZNF546	39984134	40021041
AZIN2	33081104	33120530
AC006386.1	25307702	25308107
GXYLT2	72888073	72998138
HSBP1L1	79964561	79970822
AC026449.1	115855994	115858468
ENPP6	184088706	184221230
TSHZ3	31274945	31349547
RP11-111M22.2	76381313	76414619
PKP2	32790745	32896840
AL158801.1	55229217	55229681
EPHX2	27490779	27545564
AC073333.1	16789242	16789622
CCDC53	102012927	102062149
AL049794.1	16551149	16553012
GRPR	16123556	16153021
AC012314.26	54094681	54102740
AC006328.4	25463994	25473714
CHI3L1	203178931	203186749
OR2T29	248558544	248559491
METTL4	2537525	2571509
TAF6	100107070	100119841
ZNF716	57450177	57473546
ZNF491	11797667	11809622
OR2T34	248573801	248574757
AUNIP	25831913	25859458
OR2T10	248592830	248593768
CD101	117001750	117036476
PHYH	13277796	13302412
TRIM66	8612037	8671866
PDE1A	182140036	182523192
MRPL16	59806135	59810872
ZC3H7B	41301522	41360147
BBS12	122732702	122744943
AFAP1L1	149271871	149341802
AC129492.1	8188933	8189688
AC004824.2	17329012	17331796
MAGEB17	16167481	16171464
IGFL3	46120071	46124674
AC006449.2	38727833	38728198
KIR2DL4	54811737	54822719
ABCB11	168939927	168953422
AC012314.23	54156127	54160192
TEKT1	6789133	6831761
WDFY2	51584455	51767707
AC012314.24	54094681	54102740
ZNF157	47370583	47414305
HNRNPLL	38561978	38603586
WDR76	43826963	43868419
LAMTOR4	100148907	100155944
TMEM126A	85647967	85656547
OGDH	44606572	44709066
AJ239318.1	13305171	13314664
DBX2	45014672	45051099
FAM149B1	73168166	73244504
BRD2	32890988	32903839
TXNL4A	79970811	80033949
TUBE1	112070777	112087529
CU104787.1	11065974	11067346
ZNF404	43872363	43901385
KDELR1	48382570	48391553
SLC9A3	524112	524332
GP6	54751499	54776058
FAM63A	150996086	151008375
DGCR6	131494	137392
RPL17-C18orf32	49481681	49491586
CRNKL1	20034368	20056046
COA6	234373456	234384049
ETV4	43527844	43579620
FBXO38	148383935	148442836
ENO3	4948092	4957131
YPEL5	30146941	30160533
PIF1	64815632	64825668
SLC25A23	6436079	6465203
AC009065.4	2253737	2262342
AC011043.1	42939	49164
AC011476.21	54782118	54801011
S100B	46598962	46605208
GAL3ST2	241799063	241804208
AL135745.1	64894339	64894713
FXYD3	35115879	35124324
AC008810.1	40801222	40801596
XPNPEP2	129738974	129769538
PAK6	40238759	40277487
OR2B6	27957241	27958182
AC234582.2	155188587	155189452
AL589743.1	19300177	19302924
AC005477.1	71965306	71966899
B9D1	19337554	19378182
FAM129A	184790724	184974550
AC104981.1	77777090	77777464
VWA7	31756347	31768050
ZNF517	144798876	144811169
DUOXA2	45114321	45118421
FBXO25	406428	477967
AC069063.1	115113420	115114210
PEX1	92487020	92528531
PSG1	42866464	42879822
ANXA2R	43039081	43043170
ZNF714	21082159	21125270
FKSG66	40647563	40647937
HSFX1	149774068	149776867
GSTT2B	23957418	23961206
MAFIP	53590	115018
USP16	29024629	29054488
MPP6	24573268	24694193
BX004987.4	56140	58376
LY6G6C	31758101	31761298
AP000866.1	124789244	124790069
PGAM1	97426160	97433441
ALKBH7	6372433	6375251
IMMP2L	110663051	111562517
HOXA10	27170591	27180261
FKSG54	23638162	23638536
NEU2	233032672	233035057
MSI1	120341330	120369180
AC017081.1	206355739	206356119
AC243906.1	47057885	47113984
PAPPA	116153804	116402322
ADAMTS12	33842143	33894178
MMP25	3046681	3060726
CLEC1A	10069554	10111627
HDHD1	7048920	7148190
SCAMP4	1905214	1926013
AC104073.2	65140528	65141723
AC104389.2	5248449	5249858
AL357140.1	9827610	9828258
MSMB	46033307	46046269
TARM1	54069947	54081380
HOXB4	48575513	48580111
NEU4	241808825	241817413
C2orf80	208165343	208190073
AC090154.1	66674499	66675916
KRT34	41377665	41382400
FAM231B	35407	35916
RPL41	137513832	137514238
PRR4	10845849	11167847
SGNE1	32721966	32777405
DHX34	47349281	47382704
PPIAL4C	149583865	149584464
TPTE	10521553	10606140
TMC3	81331217	81374213
CMKLR1	108288044	108339341
DEPDC1B	60596912	60700190
AC012314.27	54156127	54160192
MAGEA9	149781930	149787737
C19orf81	50649445	50659310
AC016577.1	156658587	156660435
IQCC	32205661	32208687
CLEC1B	9985642	10013424
SLC52A1	5032600	5052009
C7orf57	48035511	48061304
FZD2	44557459	44559570
NGFRAP1	103376340	103378077
AC012314.35	54156127	54160192
NEURL1B	172641266	172691540
AC012314.28	54040833	54063953
HLX	220879400	220885059
GABARAPL2	75566351	75577881
TNFSF14	6661253	6670588
ADCY1	45574140	45723116
KRR1	75490861	75511636
SHC2	416583	460996
KRT33B	41363494	41397592
OCSTAMP	46540946	46550574
STX12	27773183	27824452
NLRP7	54929128	54953124
FAM35A	87094161	87191468
KIR3DL2	54850443	54867215
STAB2	103587273	103766727
RLF	40161373	40240921
RGAG1	110358816	110456334
HEBP1	12974864	13000273
TRIM15	30163206	30172696
C19orf38	10836575	10869790
ZYG11B	52726467	52827342
MYT1L	1789113	2331260
CYP4Z1	47067488	47118319
KLF13	31478417	31529455
GPR179	38126026	38144226
C2CD5	22448583	22544546
HLA-DRB1	32679192	32818862
ARL5A	151788984	151828492
DHRS7	60144120	60169856
C1orf110	162824458	162868815
AC022405.1	40683694	40684068
AC069063.2	115120172	115121489
DNPEP	219373546	219400022
OLFM1	135075243	135121179
BATF	75522425	75547015
GPRC5D	12940775	12952147
RPS9	54201473	54208260
CNOT3	54138182	54156191
JPH2	44111695	44187578
SRRM3	76201900	76287288
SRPX2	100644218	100671299
ACY3	67642555	67650659
DOK3	177501907	177511274
GNPNAT1	52775194	52791668
FO538757.3	182393	184158
AC012314.15	54069947	54081380
BCL3	44747705	44760044
MFSD2B	24010081	24063321
TRNT1	3126916	3150879
BTAF1	91923769	92030325
AC243945.1	22638099	22638473
ZNF311	28994770	29005301
AC104389.1	5253367	5254782
AFAP1L2	114294824	114404756
ESRRB	76310614	76501841
CLEC12B	10010627	10018619
ELMOD1	107591091	107666779
SPTLC1	92031999	92115384
RXFP3	33938372	33940223
WWTR1	149517235	149736714
SLC31A1	113221562	113264492
KIR2DL1	54769815	54784318
FGF17	22042398	22048809
CHST2	143119331	143124014
GHR	42423777	42721878
GABRR3	97986673	98035304
TGM7	43276280	43302255
AC012314.13	54040833	54063953
SMKR1	129502479	129512932
NBN	89933336	90003228
RASL10B	35731649	35743521
FO538757.2	184923	200322
GALNTL5	151956379	152019934
ARL4D	43398959	43401137
ACTC1	34788096	34796139
VSTM4	49014245	49115509
CENPC	67468748	67545606
ANKRD35	145866560	145885866
VPS26B	134224645	134247792
CALR	12938578	12944489
MORC2	30925130	30968298
KCNA1	4909905	4931361
TMEM261	7796490	7888380
MYOF	93306429	93482317
IGFL2	46143106	46161299
SLC22A14	38282294	38318575
KIAA1551	31959370	31993107
ZC3HAV1	139043520	139109719
ADH7	99412261	99435737
LRR1	49598697	49614672
UNC80	209771993	209999300
OCLM	186400572	186401455
RBMY1F	22168542	22182982
KIF1A	240713764	240820308
RARG	53210567	53232980
FNDC1	159169397	159272109
SNN	11668414	11679159
PHKA2	18892300	18984598
RPL23	38847865	38853843
SLC23A2	4852356	5010293
BCKDHB	80106647	80346270
KCNK3	26692690	26733420
ECHDC3	11742366	11764070
SGCD	155870344	156767788
MRPL34	17292609	17306843
GTPBP6	304529	318819
MTX1	155208699	155213824
PIGP	37059170	37073170
LRRC7	69568398	70151945
CCDC18	93179919	93278730
TAS2R7	10801532	10802627
AL354822.1	51867	54893
GGTLC2	22644475	22647903
SENP3-EIF4A1	7563287	7578715
TMEM255B	113759240	113816995
RUNDC1	42980565	42993690
NOP56	2652145	2658393
KCNH6	63523334	63548977
BTNL2	32393963	32407128
AC087762.1	100783470	100785235
AC012314.3	54069947	54081380
RPS24	78033760	78056812
ZNF3	100064033	100082548
MRPL20	1401908	1407313
TAS2R8	10806051	10807293
HOXB6	48595751	48604992
METTL6	15381275	15440566
HNMT	137964020	138016364
ZHX2	122781394	122974512
PMEPA1	57648392	57711536
PSPN	6375148	6379058
SGK223	8317736	8386498
COL20A1	63293186	63334851
HLA-C	31259794	31263175
ATP9B	79069285	79378283
LPIN2	2916994	3013315
FLJ20019	109344229	109344918
GOLGA8F	28378621	28392018
AC007326.1	18945123	18946971
TOR1AIP1	179882042	179925000
KAZALD1	101061841	101068131
ADAM23	206443539	206621130
AC012314.5	54094681	54102740
ANOS1	8528874	8732187
TXNDC11	11679080	11742878
C5orf22	31532266	31555058
GRB14	164492812	164621848
B4GALNT4	369796	382116
EPS8L3	109750080	109764027
IFITM2	307631	315272
PPP1R11	30056599	30060223
CEBPZOS	37196488	37216193
PPP1R1A	54575387	54588659
DEFB104B	7462290	7467065
C1orf27	186375758	186421378
LAYN	111540280	111561745
GNL1	30586013	30601810
JAM3	134068925	134152001
KIAA1524	108549869	108589644
NUP210	13316235	13420309
PNPLA7	137459953	137550534
VPS28	144423601	144428563
AC012314.30	54160649	54173691
KIF2C	44739818	44767767
FAM46A	81491439	81752774
ADNP	50888919	50931240
OR51B6	5351508	5352446
MAGEA8	149881141	149885835
NCOA2	70109762	70403805
AP005242.1	15057125	15066579
AC012314.29	54173854	54190480
MTF1	37809567	37859620
TRIM15	30153602	30163092
SCNN1A	6346843	6377730
FAAH	46394265	46413848
CNTNAP1	42682613	42699814
TMEM158	45224466	45226278
GOLGA8O	32445106	32455634
MSS51	73423579	73433561
SEL1L	81471549	81533861
TEX11	70528940	70908731
LRRC72	16526880	16581568
DEFB113	49968677	49969625
AHSA1	77457870	77469474
FREM2	38687129	38887131
SLX1A	30193887	30197561
CCDC155	49388218	49417994
HIST1H1D	26234268	26234933
AC011476.18	54931214	54955210
ZNF738	21358930	21379302
FAM183A	43145153	43156396
CCDC93	117915478	118014133
ABCD1	153724868	153744762
EFHC2	44147882	44343672
ATCAY	3879864	3928079
TMEM231	75536744	75556286
LCMT2	43323649	43330605
PICALM	85957684	86069882
FP325317.1	43109628	43127172
SHANK1	50661827	50719450
ARMC12	35737032	35749079
C12orf56	64264762	64391192
EIF4E1B	176630682	176646641
CD40LG	136648193	136660390
GPR146	1044576	1059261
DEFB103A	7881204	7882664
C2CD4A	62066977	62070917
PCP4L1	161258727	161285450
TRABD	50185915	50199598
SYT14	209938174	210171315
HACD4	20999515	21031636
AC243687.1	30776860	30837039
UBE2E1	23805903	23891316
SUCLG2	67360460	67654614
CHMP4A	24209583	24213869
TRIM26	30229518	30258487
FZD5	207762586	207769563
PRRG1	37349275	37457295
PGP	2211997	2214807
OR51I1	5440570	5441514
OSGEPL1	189746660	189763227
LENEP	154993586	154994315
PRH1	10824960	11167778
ITGA5	54395261	54419460
CYB5R3	42617840	42649568
PI4KB	151291797	151327715
TSEN34	54190535	54195132
DUOX2	45092650	45114344
CCDC60	119334712	119541047
MATR3	139273752	139331677
MXD3	177301461	177312757
MYO6	75749192	75919537
UBE2J2	1253909	1273885
GABRG1	46035769	46124081
OSCAR	54094681	54102740
ZNF280B	22484421	22509154
MSL2	136148922	136197241
AC012314.22	54156127	54160192
SLC5A11	24845841	24911628
PNMA1	73711783	73714372
TAF15	35713791	35864615
CPTP	1324756	1328897
POTEM	18967434	18999012
NMRK2	3933103	3942416
RAI1	17681473	17811453
AC012314.34	54094681	54102740
CYB561A3	61348745	61362299
CSNK1D	82239023	82273731
PSMA5	109399031	109426427
WSB1	27294076	27315926
PAPOLG	60756230	60802085
ADAM17	9488486	9555792
DACH2	86148458	86832604
CPNE5	36740775	36840002
UBQLNL	5514393	5516705
GYPE	143870867	143905563
SRRD	26483877	26494658
SLC22A9	63369789	63410294
WDFY4	48684876	48982956
DTNBP1	15522801	15663058
MCCD1	31518986	31520501
KCTD9	25427847	25458476
CDCA8	37692418	37709719
EDF1	136862119	136866286
OSBPL7	47807372	47821834
OR51Q1	5422111	5423206
RBM19	113816738	113966371
RALGDS	133097720	133149334
KAT6A	41929479	42051990
OR14J1	29306699	29307664
TAS2R9	10809137	10810168
NSMCE4A	121957088	121975217
RPS29	49570984	49599164
CEP350	179954738	180114880
OR51B5	5342586	5343524
ISX	35066136	35087387
CST6	66011841	66013505
NRP1	33177492	33336262
FKSG70	42285229	42285603
KCNG2	79863668	79900184
FAM166B	35561831	35563899
AC007557.5	216863059	216865281
AC011476.19	54913845	54920784
ZNF511	133308475	133313162
OVCH1	29412474	29497686
ADORA1	203090654	203167405
TRH	129974305	129977938
TRAM2	52497402	52576915
